"First","Last","Keeper","Team","Season","Min","Shots","Goals","Saves","Header%","Dist","xG","G-xG","Goals/Shot","xG/Shot","G-xG/Shot","Comp ($K)","Min/96","Shots/96","Goals/96","Saves/96","Header%/96","Dist/96","xG/96","G-xG/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Alec","Kann","Alec Kann","SKC",2016,669,28,11,17,0.214285714285714,17.471059620883,10.523,0.477242505642898,0.392857142857143,0.375812767655611,0.0170443752015321,63,669,4.01793721973094,1.57847533632287,2.43946188340807,0.214285714285714,17.471059620883,1.50999210681358,0.0684832295092948,63,148,146,"Kann 2016"
"Zac","MacMath","Zac MacMath","COL",2016,1610,52,13,39,0.153846153846154,20.9477347737222,12.52,0.480230029682197,0.25,0.240764807121496,0.00923519287850379,140.004,1610,3.10062111801242,0.775155279503106,2.32546583850932,0.153846153846154,20.9477347737222,0.746520445435099,0.0286348340680068,140.004,163,165,"MacMath 2016"
"Patrick","McLain","Patrick McLain","CHI",2016,96,6,3,3,0.333333333333333,11.333625264555,2.512,0.488346033220576,0.5,0.418608994463237,0.0813910055367627,72.5,96,6,3,3,0.333333333333333,11.333625264555,2.51165396677942,0.488346033220576,72.5,56,57,"McLain 2016"
"Luis","Lopez","Luis Lopez","LAFC",2018,96,5,2,3,0.2,21.6252103491108,1.497,0.502741721063594,0.4,0.299451655787281,0.100548344212719,147.50008,96,5,2,3,0.2,21.6252103491108,1.49725827893641,0.502741721063594,147.50008,31,43,"Lopez 2018"
"Earl","Edwards Jr.","Earl Edwards Jr.","ORL",2018,419,25,10,15,0.16,15.5951787217146,9.496,0.50362150818631,0.4,0.379855139672548,0.0201448603274524,68.25,419,5.72792362768496,2.29116945107399,3.43675417661098,0.16,15.5951787217146,2.17578122962796,0.115388221446028,68.25,141,140,"Jr. 2018"
"Tally","Hall","Tally Hall","HOU",2012,NA,127,39,88,0.165354330708661,19.2560016222756,38.467,0.53287914071304,0.307086614173228,0.302890715427456,0.00419589874577197,129.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,300,"Hall 2012"
"Steve","Clark","Steve Clark","DCU, POR",2018,919,60,17,43,0.166666666666667,18.4892015216812,16.465,0.534686332975719,0.283333333333333,0.274421894450405,0.00891143888292865,130,919,6.26768226332971,1.77584330794342,4.49183895538629,0.166666666666667,18.4892015216812,1.71998924051614,0.0558540674272786,130,188,189,"Clark 2018"
"Pat","Onstad","Pat Onstad","DCU",2011,NA,15,7,8,0.4,17.6819773158,6.455,0.545119937568819,0.466666666666667,0.430325337495412,0.0363413291712546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,114,"Onstad 2011"
"Milos","Kocic","Milos Kocic","POR",2013,NA,9,2,7,0.111111111111111,21.07425887,1.454,0.545984581074855,0.222222222222222,0.161557268769461,0.0606649534527617,49.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,36,"Kocic 2013"
"Jake","Gleeson","Jake Gleeson","POR",2017,1950,81,30,51,0.172839506172839,18.6687051539771,29.445,0.555033438541673,0.37037037037037,0.363518105697016,0.00685226467335399,115.16667,1950,3.98769230769231,1.47692307692308,2.51076923076923,0.172839506172839,18.6687051539771,1.44959835379487,0.0273247231282055,115.16667,234,244,"Gleeson 2017"
"Evan","Bush","Evan Bush","MTL",2012,NA,7,3,4,0.142857142857143,19.2369862114286,2.443,0.557458980693064,0.428571428571429,0.348934431329562,0.0796369972418662,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,65,"Bush 2012"
"Joe","Willis","Joe Willis","HOU",2015,282,10,5,5,0.4,13.8872947985965,4.411,0.58882573112954,0.5,0.441117426887046,0.058882573112954,90,282,3.40425531914894,1.70212765957447,1.70212765957447,0.4,13.8872947985965,1.50167634684952,0.20045131272495,90,93,96,"Willis 2015"
"Bobby","Shuttleworth","Bobby Shuttleworth","NER",2011,NA,32,15,17,0.15625,14.1574840599063,14.395,0.605062500030954,0.46875,0.449841796874033,0.0189082031259673,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,182,"Shuttleworth 2011"
"Joe","Cannon","Joe Cannon","VAN",2012,NA,106,33,73,0.132075471698113,20.2500164187264,32.381,0.618965096934201,0.311320754716981,0.305481461349677,0.00583929336730378,175.66667,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,262,"Cannon 2012"
"Evan","Bush","Evan Bush","MTL",2015,2944,138,39,99,0.152173913043478,19.423714474777,38.375,0.625301285272858,0.282608695652174,0.278077526918313,0.00453116873386129,100,2944,4.5,1.27173913043478,3.22826086956522,0.152173913043478,19.423714474777,1.25134887113241,0.0203902593023758,100,291,297,"Bush 2015"
"Jon","Kempin","Jon Kempin","SKC",2015,282,11,5,6,0.181818181818182,15.3341148539209,4.364,0.636001415462024,0.454545454545455,0.396727144048907,0.0578183104965477,92.08333,282,3.74468085106383,1.70212765957447,2.04255319148936,0.181818181818182,15.3341148539209,1.48561653941718,0.216511120157285,92.08333,91,88,"Kempin 2015"
"Zac","MacMath","Zac MacMath","COL",2018,174,14,5,9,0,23.7923083526107,4.36,0.640311307542328,0.357142857142857,0.311406335175548,0.0457365219673092,170,174,7.72413793103448,2.75862068965517,4.96551724137931,0,23.7923083526107,2.40534548549389,0.353275204161284,170,89,93,"MacMath 2018"
